vs_site,cetin_site,vs_eq,cetin_eq,match_ratio,y_vs,y_cetin,s_pen,vs1,csr,mw,sigma_eff,fc,earthquake
AOMORI STATION,Aomori Station,1968 Tokachi Oki Earthquake,1968 Tokachi-Oki M=7.9,0.95,1.0,1.0,1.6147452856341509,139.0,0.21,7.9,57.45,,1968 Tokachi-Oki M=7.9
AOMORI STATION,Aomori Station,1968 Tokachi Oki Earthquake,1968 Tokachi-Oki M=7.9,0.95,1.0,1.0,1.6147452856341509,139.0,0.21,7.9,57.45,,1968 Tokachi-Oki M=7.9
LUANNAN,Luan Nan-L2,1976 Tangshan M8 Earthquake,1976 Tangshan Ms=7.8,0.95,1.0,1.0,1.8902529726694144,190.5,0.2,8.0,11.03,,1976 Tangshan Ms=7.8
LUANNAN,Luan Nan-L2,1976 Tangshan M8 Earthquake,1976 Tangshan Ms=7.8,0.95,1.0,1.0,1.8902529726694144,142.0,0.18,8.0,19.08,,1976 Tangshan Ms=7.8
YURIAGE KAMI-2,Yuriagekami-2,1978 Miyagi Ken Oki M6.7 Earthquake,1978 Miyagiken-Oki M=7.4,0.95,1.0,1.0,1.7359400105065128,143.1,0.13,6.7,41.54,,1978 Miyagiken-Oki M=7.4
Kornbloom,Kornbloom B,1979 Imperial Valley M6.5 Earthquake,1979 Imperial Valley ML=6.6,0.95,0.0,0.0,0.6213999513411566,117.1,0.09,6.5,50.21,,1979 Imperial Valley ML=6.6
McKim,McKim Ranch A,1979 Imperial Valley M6.5 Earthquake,1979 Imperial Valley ML=6.6,0.95,1.0,1.0,2.991775423968252,160.3,0.45,6.5,33.51,,1979 Imperial Valley ML=6.6
Radio Tower,Radio Tower B1,1979 Imperial Valley M6.5 Earthquake,1979 Imperial Valley ML=6.6,0.95,1.0,1.0,1.245866372819872,98.3,0.18,6.5,48.86,,1979 Imperial Valley ML=6.6
Kornbloom,Kornbloom B,1981 Westmorland M5.9 Earthquake,1981 WestMorland ML=5.6,0.95,1.0,1.0,0.9338451897146264,117.1,0.28,5.9,50.21,,1981 WestMorland ML=5.6
McKim,McKim Ranch A,1981 Westmorland M5.9 Earthquake,1981Westmorland ML=5.6,0.95,0.0,0.0,0.4968199824908371,128.7,0.06,5.9,39.59,,1981Westmorland ML=5.6
Radio Tower,Radio Tower B1,1981 Westmorland M5.9 Earthquake,1981 Westmorland ML=5.6,0.95,1.0,1.0,1.0285729776387589,98.3,0.17,5.9,48.86,,1981 Westmorland ML=5.6
Wildlife 3,Wildlife B,1981 Westmorland M5.9 Earthquake,1981 WestMorland ML=5.6,0.8888888888888888,1.0,1.0,1.231861165225788,122.9,0.25,5.9,48.38,,1981 WestMorland ML=5.6
