tier,year,vs_case,vs_site,moss_id,moss_site,moss_eq,reason
A,1975,9016,"Paper Mill, Ying-Kou",10,Paper Mill,"1975 Haicheng, China",Ying-Kou Paper Mill
A,1975,9018,"Construction Building, Ying-Kou",7,Const. Com. Building,"1975 Haicheng, China","Construction Building, Ying-Kou"
A,1975,9020,"Middle School, Ying-Kou",9,17th Middle School,"1975 Haicheng, China","Middle School, Ying-Kou"
A,1975,9021,"Chemical Fiber, Ying-Kou",6,Chemical Fiber Site,"1975 Haicheng, China","Chemical Fiber, Ying-Kou"
A,1979,9022,Wildlife 1,30,Wildlife B,"1979 Imperial Valley, USA",Wildlife array
A,1979,9023,Wildlife 2,30,Wildlife B,"1979 Imperial Valley, USA",Wildlife array
A,1979,9024,Wildlife 3,30,Wildlife B,"1979 Imperial Valley, USA",Wildlife array
A,1979,9025,Radio Tower,27,Radio Tower B1,"1979 Imperial Valley, USA",Radio Tower array
A,1979,9026,McKim,28,McKim Ranch A,"1979 Imperial Valley, USA",McKim Ranch
A,1979,9028,Kornbloom,29,Kornbloom B,"1979 Imperial Valley, USA",Kornbloom
A,1981,9033,Wildlife 1,32,Wildlife B,"1981 Westmorland, USA",Wildlife array
A,1981,9034,Wildlife 2,32,Wildlife B,"1981 Westmorland, USA",Wildlife array
A,1981,9034B,Wildlife 3,32,Wildlife B,"1981 Westmorland, USA",Wildlife array
A,1981,9035,Radio Tower,34,Radio Tower B1,"1981 Westmorland, USA",Radio Tower array
A,1981,9036,McKim,35,McKim Ranch A,"1981 Westmorland, USA",McKim Ranch
A,1981,9038,Kornbloom,33,Kornbloom B,"1981 Westmorland, USA",Kornbloom
A,1983,9043,SA1 Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
A,1983,9044,SA2 Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
A,1983,9045,SA3 Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
A,1983,9046,SA4 Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
A,1983,9047,SA5 Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
A,1983,9048,SAA Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
A,1983,9049,SAB Pense Ranch,40,Pence Ranch [1],"1983 Borah Peak, USA","Pense=Pence Ranch spelling variant, Borah Peak"
