id,event,Mw,PGA,GWT,y,profile,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped,log_LPI
SiteD,Niigata,7.6,0.162,1.1,1,measured,0.522441614998026,9.4,55.45980251772972,1.7768384220289857,87.24740950002176,911,9.044184082783296,0.522441614998026,2.3069937687641175
SiteE,Niigata,7.6,0.162,1.4,1,measured,0.6496207767105864,10.52,80.9218885339027,2.5531688118882716,100.08436867687868,1034,7.308583668535972,0.6496207767105864,2.1172891573420394
SiteF,Niigata,7.6,0.162,1.7,0,measured,0.7548880682580732,4.6899999999999995,75.31072387608471,2.5818041941278955,56.5318837404308,204,0.6322332932038635,0.7548880682580732,0.4899491955927156
BAL-10b,San Fernando,6.6,0.45,7.2,0,measured,0.44914950278251203,10.610000000000001,92.45071371263671,2.4588473432795106,148.55265929020965,166,1.399910008107892,0.44914950278251203,0.8754312400291724
BAL-11b,San Fernando,6.6,0.45,7.6,0,measured,0.4024935246051565,10.16,76.36129266971625,2.592554947063902,145.55926327025384,84,0.48144337547765126,0.4024935246051565,0.393016866226217
17thMiddle,Haicheng,7.0,0.3,1.0,0,measured,0.28848692946321336,9.25,68.4738808921744,2.594726887323322,62.481539230988915,511,16.707519795459618,0.28848692946321336,2.8739893965588723
papermill,Haicheng,7.0,0.3,1.52,1,measured,0.3349471249574071,8.459999999999999,70.65689387573478,2.5975072407624427,70.82351708367244,743,26.59693608560355,0.3349471249574071,3.317704755169708
T1,Tangshan,7.6,0.64,3.7,1,measured,0.294346215196614,5.25,100.84767914402445,2.594965920663531,74.33500664973373,151,4.774896142691844,0.294346215196614,1.7535202722966798
T4,Tangshan,7.6,0.64,1.1,0,measured,0.16815189084298374,4.359999999999999,80.97571884518719,2.5811382679992754,36.889427078162385,128,4.257207397349577,0.16815189084298374,1.6595999727139708
T6,Tangshan,7.6,0.64,1.5,1,measured,0.20027341504871585,3.83,78.47288360261813,2.5947477823048635,45.74125367975547,278,15.489238247795257,0.20027341504871585,2.8027079407073607
T7,Tangshan,7.6,0.64,3.0,1,measured,0.23648993672708302,7.700000000000001,98.98134735938291,2.234213509835138,96.66863213689852,529,16.893600752395002,0.23648993672708302,2.884443149062197
T8,Tangshan,7.6,0.64,2.2,1,measured,0.20612433511416856,5.57,83.55140598454642,1.9043685737506855,66.32213342660498,651,24.03605644014917,0.20612433511416856,3.2203170434196027
T9,Tangshan,7.6,0.64,1.1,0,measured,0.16454999789884464,2.91,53.79920692833512,1.7952889869589226,34.41277824750006,571,29.667688044919466,0.16454999789884464,3.4232095936388958
T10,Tangshan,7.6,0.64,1.5,1,measured,0.17544786920619151,5.94,79.10486119831653,2.5845977658236268,60.561917437894884,254,13.019823493174052,0.17544786920619151,2.6404722918819763
T11,Tangshan,7.6,0.61,0.9,1,measured,0.17808476157667594,2.3800000000000003,60.86893838318631,1.8034642975991135,25.400975296956027,334,8.846597545753017,0.17808476157667594,2.287125968683304
T13,Tangshan,7.6,0.58,1.1,1,measured,0.17824311450569053,14.149999999999999,78.49401414433282,2.5920970292571273,134.35107421070094,922,19.622771217086875,0.17824311450569053,3.0263958641797557
T16,Tangshan,7.6,0.26,3.5,0,measured,0.5116813304601241,10.39,87.535695515544,2.594075205018539,124.54964989283687,669,2.7375050913097114,0.5116813304601241,1.3184183009392112
KOR4c,Imperial Valley,6.53,0.13,2.7,0,measured,0.9582625752509324,13.1,68.4411210051473,2.0749086609825285,134.78500916275306,386,0.014977467457009657,0.9582625752509324,0.014866412697592823
KOR5c,Imperial Valley,6.53,0.13,2.7,0,measured,1.0042169353379082,17.95,66.4129633024497,2.5354266866957387,176.85826840205425,501,0.0,1.0042169353379082,0.0
MCK4b,Imperial Valley,6.53,0.51,1.5,0,measured,0.20651407200003744,11.18,66.38732274831852,1.813333896376276,95.346622308664,223,8.796598763065397,0.20651407200003744,2.282035260442206
MCK7b,Imperial Valley,6.53,0.51,1.5,1,measured,0.27288045251221676,4.88,86.27857885725737,2.5819315956580504,51.54205153480164,369,18.7763568672408,0.27288045251221676,2.9844871265837813
Rad2d,Imperial Valley,6.53,0.2,2.1,1,measured,0.5929482984618669,13.969999999999999,68.47236758366259,2.078691291973913,129.76487019044652,948,10.537083265842693,0.5929482984618669,2.4455664792063314
Rad4d,Imperial Valley,6.53,0.2,2.1,0,measured,0.611320940244518,14.95,67.02605272050354,2.0026412616026374,148.61793247876503,1087,6.7750989072644066,0.611320940244518,2.050926179175948
RVP002,Imperial Valley,6.53,0.16,0.3,1,measured,0.5975093925727737,3.0300000000000002,65.8317580067083,2.5932654892333433,26.79307390950029,715,4.110921999252531,0.5975093925727737,1.6313798183221093
