id,event,Mw,PGA,GWT,y,profile,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped,log_LPI
Delta1,Victoria (Mexicali),6.33,0.19,2.3,0,measured,0.7242867155991879,5.1899999999999995,73.51740533872746,2.552357741017482,56.76887353332073,39,0.5910027669872087,0.7242867155991879,0.4643644885038601
Delta2,Victoria (Mexicali),6.33,0.19,2.2,1,measured,0.6742375999356822,5.200000000000001,67.3080254924644,1.7870584486441314,56.040959376276476,299,1.8080222887659998,0.6742375999356822,1.0324804237267915
Delta3,Victoria (Mexicali),6.33,0.19,2.0,1,measured,0.5324578469948206,9.950000000000001,54.1534487534111,1.7682203267097514,89.07514633812801,567,6.510514580517578,0.5324578469948206,2.0163039828052063
Delta3',Victoria (Mexicali),6.33,0.19,2.2,1,measured,0.6338989409079195,9.41,72.92280115349892,2.586084259504824,85.61526247706011,383,3.495959234164582,0.6338989409079195,1.503179045416071
Delta4,Victoria (Mexicali),6.33,0.19,2.0,1,measured,0.6245632024465984,7.630000000000001,70.0127235677827,2.577720141273362,74.11517193564445,392,4.010009505999601,0.6245632024465984,1.6114378125000832
3Cgb,Elmore Ranch,6.22,0.133,1.2,0,measured,0.7485809167330179,5.68,61.77487148146288,1.8077962244747807,47.09362490369565,498,1.8398734589835162,0.7485809167330179,1.0437594944844906
3Cgc,Westmorland,5.9,0.26,1.2,1,measured,0.3945418010521642,5.68,61.77487148146288,1.8077962244747807,47.09362490369565,498,13.281498742430115,0.3945418010521642,2.6589649053558464
HEB001B,Westmorland,5.9,0.17,1.8,0,measured,0.7132745903688242,6.880000000000001,62.225436629431876,1.7069320460935442,78.98090260202994,333,0.023807616415209176,0.7132745903688242,0.023528634372151344
KOR4b,Westmorland,5.9,0.32,2.7,1,measured,0.4333364864664092,13.1,68.4411210051473,2.0749086609825285,134.78500916275306,386,6.110098708762509,0.4333364864664092,1.9615161268077408
KOR5b,Westmorland,5.9,0.32,2.7,1,measured,0.4677867626348443,17.95,66.4129633024497,2.5354266866957387,176.85826840205425,501,5.5998643855490915,0.4677867626348443,1.887049101177197
MCK4,Westmorland,5.9,0.09,1.5,0,measured,1.2847687140911517,11.18,66.38732274831852,1.813333896376276,95.346622308664,223,0.0,1.2847687140911517,0.0
MCK7,Westmorland,5.9,0.09,1.5,0,measured,1.6596792937618694,4.88,86.27857885725737,2.5819315956580504,51.54205153480164,369,0.0,1.6596792937618694,0.0
Rad2b,Elmore Ranch,6.22,0.09,2.1,0,measured,1.3921470903894515,13.969999999999999,68.47236758366259,2.078691291973913,129.76487019044652,948,0.0,1.3921470903894515,0.0
Rad2c,Westmorland,5.9,0.2,2.1,1,measured,0.6638310379981671,13.969999999999999,68.47236758366259,2.078691291973913,129.76487019044652,948,7.206023604562721,0.6638310379981671,2.1048684705163105
Rad4c,Westmorland,5.9,0.2,2.1,0,measured,0.6882005009239806,14.95,67.02605272050354,2.0026412616026374,148.61793247876503,1087,4.343278166164738,0.6882005009239806,1.675839353414353
RVP002B,Westmorland,5.9,0.17,0.3,0,measured,0.5895536418250643,3.0300000000000002,65.8317580067083,2.5932654892333433,26.79307390950029,715,4.130080163483387,0.5895536418250643,1.635121285470604
Akitna B,Nihonkai-Chubu,7.7,0.17,1.0,1,measured,0.5353460909698882,4.97,58.92716774058292,1.9127327233342735,48.08970731636698,955,15.825474395193815,0.5353460909698882,2.82289407098434
Akitna C,Nihonkai-Chubu,7.7,0.17,2.4,0,measured,1.1084036508019608,3.75,103.28114124127443,1.9998537057797356,55.99772952921148,123,0.0,1.1084036508019608,0.0
CPT-1a,Borah Peak,6.88,0.5,0.8,1,measured,0.19372994234156207,7.8100000000000005,63.87300713760485,2.5943894468062423,75.00209944745117,781,14.334670276345115,0.19372994234156207,2.7301162959555403
CPT-2,Borah Peak,6.88,0.5,2.4,1,measured,0.3590311443035634,3.38,84.40880929659008,2.0202410324602122,57.592670050873664,639,3.1159623638599574,0.3590311443035634,1.4148726740670137
CPT-3,Borah Peak,6.88,0.5,6.8,1,measured,0.45421483138902957,12.41,112.19019606958241,2.5670716601583217,178.75648746329904,578,2.4561212950122835,0.45421483138902957,1.2401469472623508
AWA004,Edgecumbe,6.6,0.37,1.1,1,measured,0.2903623848995867,8.370000000000001,72.81231000771317,2.5600411573784676,75.47894012070064,604,14.027572968403977,0.2903623848995867,2.7098867115776164
BDY001,Edgecumbe,6.6,0.4,1.65,1,measured,0.27275199964841296,11.22,70.36883511543907,1.8448188138913229,96.63797227217178,977,39.95947220016758,0.27275199964841296,3.7125830949101344
BDY004,Edgecumbe,6.6,0.4,1.53,0,measured,0.2791819901514471,7.28,67.70990237415147,1.807653663585653,75.46743445254742,965,33.706000480415206,0.2791819901514471,3.546912596510737
EPB001,Edgecumbe,6.6,0.39,3.5,1,measured,0.3277223970788,13.270000000000001,68.64500355693642,1.8069758799386986,136.68950759027828,554,10.166177486130156,0.3277223970788,2.4128893419911224
GDN001,Edgecumbe,6.6,0.43,0.5,1,measured,0.2147177570327181,3.2800000000000002,61.715211657142206,1.8785377956539182,27.264731709343923,689,28.261073459306537,0.2147177570327181,3.376258081839964
GDN002,Edgecumbe,6.6,0.43,0.9,0,measured,0.497576318204348,5.51,126.71118438124162,1.8141195467824884,56.43962687514746,522,2.0944531242736497,0.497576318204348,1.1296111940048756
HSP001,Edgecumbe,6.6,0.26,4.4,0,measured,1.008767746919353,5.9,114.90625392163673,1.6962678284943702,93.1218389435423,189,0.0,1.008767746919353,0.0
JSL006,Edgecumbe,6.6,0.28,2.0,1,measured,0.4018200185224676,9.73,70.51119912800476,1.8548309307591702,88.51436939771766,1286,26.364393380910016,0.4018200185224676,3.309242656650924
KER001,Edgecumbe,6.6,0.31,2.5,1,measured,0.3682228891344506,10.91,62.37653635400595,1.8624844432446765,113.3037972352328,1200,24.644894475748153,0.3682228891344506,3.2443445060247393
LRB007,Edgecumbe,6.6,0.27,1.2,1,measured,0.3943425862800555,5.43,69.54980308139498,1.7758740668992234,48.502114387295414,1398,20.105093392779146,0.3943425862800555,3.049514404374121
MRS001,Edgecumbe,6.6,0.42,1.6,1,measured,0.2512684560418434,8.06,62.82075970024924,1.7992425995805184,79.25026604862092,1002,30.650219436765973,0.2512684560418434,3.4547450817973027
MRS002,Edgecumbe,6.6,0.42,1.89,0,measured,0.26321323503,11.15,66.29688620143699,1.8933889239711348,105.03552079415157,812,22.94121106907751,0.26321323503,3.1756012865310783
MRS003,Edgecumbe,6.6,0.41,2.08,0,measured,0.27312014903340853,7.359999999999999,63.13738885023709,1.7138799422783222,76.3182521546658,936,29.017417887651344,0.27312014903340853,3.401777809436404
RBN001,Edgecumbe,6.6,0.44,0.8,1,measured,0.1935724004853303,3.97,49.82743205524869,1.8078359566903612,32.439291711424275,1169,46.017049129979654,0.1935724004853303,3.8505102833794855
RBN002,Edgecumbe,6.6,0.44,0.7,0,measured,0.20592315971462052,8.29,60.0210256528826,1.807939871007595,68.87150663643772,1098,35.85703573384983,0.20592315971462052,3.6070465294161456
RBN003,Edgecumbe,6.6,0.44,0.9,0,measured,0.24134494655275462,4.95,74.35318511102231,1.755581275135393,41.98208781432921,1100,34.939101152733684,0.24134494655275462,3.5818258713802757
RBN004,Edgecumbe,6.6,0.44,0.61,1,measured,0.2008490935829644,3.21,56.55166349395373,1.7462784262459847,25.45040942719115,1345,49.6369690545805,0.2008490935829644,3.9246819232520265
SPS001,Edgecumbe,6.6,0.26,1.3,1,measured,0.34091581324961046,7.61,53.88377712723029,1.8297327159432029,61.49227915742036,1217,33.10442011443112,0.34091581324961046,3.5294269980133293
WBM001,Edgecumbe,6.6,0.27,1.44,0,measured,0.3737228738435661,7.180000000000001,61.23308877672057,1.7711024552341084,66.60084955142199,863,16.884931264429692,0.3737228738435661,2.8839585295070456
WBM002,Edgecumbe,6.6,0.27,1.44,0,measured,0.39002899144786557,7.13,65.60298668178424,1.8659790320071499,67.14788137978665,964,19.367845298917526,0.39002899144786557,3.0139574464856134
WCP001,Edgecumbe,6.6,0.27,2.35,1,measured,0.4629031022831189,7.35,74.2787043123989,2.5946694919155515,74.82818619962865,532,15.717597532468748,0.4629031022831189,2.8164619090829333
WCP002,Edgecumbe,6.6,0.27,2.2,1,measured,0.42154100107449555,10.58,66.95891700705349,2.2472788238376333,103.07725274607091,673,13.691611503975793,0.42154100107449555,2.68727668491626
WCP003,Edgecumbe,6.6,0.27,2.2,0,measured,0.4541307533753761,6.75,72.68155917067892,1.800210835326926,68.08977733866101,904,11.877249995361712,0.4541307533753761,2.555462188202886
3Cg,Superstition Hills,6.54,0.206,1.2,1,measured,0.46494803778023336,11.58,56.71138846519824,1.7467602465458227,97.67292851448728,498,10.375174230782795,0.46494803778023336,2.4314332817116044
HEB001,Superstition Hills,6.6,0.16,1.8,0,measured,0.7055627391000316,6.880000000000001,62.225436629431876,1.7069320460935442,78.98090260202994,333,0.027354662924428425,0.7055627391000316,0.026987210108147867
KOR4,Superstition Hills,6.54,0.174,2.7,0,measured,0.7147525462775324,13.1,68.4411210051473,2.0749086609825285,134.78500916275306,386,0.31326320091266113,0.7147525462775324,0.2725150328955761
KOR5,Superstition Hills,6.54,0.174,2.7,0,measured,0.7486760630508524,17.95,66.4129633024497,2.5354266866957387,176.85826840205425,501,0.3772080533109058,0.7486760630508524,0.320058300062365
MCK4c,Superstition Hills,6.54,0.2,1.5,0,measured,0.5258499073540749,11.18,66.38732274831852,1.813333896376276,95.346622308664,223,3.5494006458617164,0.5258499073540749,1.514995498101965
Rad2,Superstition Hills,6.54,0.2,2.1,0,measured,0.5919074967460568,14.0,68.46116282000803,2.077365965765159,129.91519754989923,948,10.587971448715273,0.5919074967460568,2.4499676160375925
Rad4,Superstition Hills,6.54,0.18,2.1,0,measured,0.6779940058619376,14.95,67.02605272050354,2.0026412616026374,148.61793247876503,1087,4.343438320284084,0.6779940058619376,1.675869325973195
RVP002C,Superstition Hills,6.6,0.19,0.3,0,measured,0.5006691228272877,3.0300000000000002,65.8317580067083,2.5932654892333433,26.79307390950029,715,6.376616486779207,0.5006691228272877,1.998315062856466
ABFI-Dike,Loma Prieta,6.93,0.24,5.5,0,measured,0.6437195862702049,10.6,76.27480322358764,2.5343401487487345,160.26052611215474,622,1.614411495300358,0.6437195862702049,0.961039022591092
AIR-18,Loma Prieta,6.93,0.26,2.4,1,measured,0.40094194636694935,9.88,62.90725089278602,2.5914776614216875,90.87507646374263,547,12.492419195776037,0.40094194636694935,2.602127986667531
AIR-21,Loma Prieta,6.93,0.26,2.4,1,measured,0.41328272827524615,7.03,60.41505494223517,1.8540728054176614,69.13589925574796,588,12.785360057845837,0.41328272827524615,2.6236071636737033
C4,Loma Prieta,6.93,0.28,2.8,1,measured,0.385834152465441,12.870000000000001,59.253898072507,1.8123741915298623,129.3806189195097,909,11.026616573726201,0.385834152465441,2.4871222413618352
CMF-3,Loma Prieta,6.93,0.36,4.9,1,measured,0.3492790220745768,12.17,62.99731656979965,1.951356352455461,134.72670753967753,1215,21.557693571011264,0.3492790220745768,3.116076186075956
CMF-5,Loma Prieta,6.93,0.36,4.9,1,measured,0.34612063558898115,10.079999999999998,56.75905908754265,1.8308060138158564,122.74146960786472,847,21.803823508319834,0.34612063558898115,3.1269282196340282
CMF-8,Loma Prieta,6.93,0.36,4.9,1,measured,0.325748988949476,13.35,54.44806575650694,1.8083764686114627,145.5872471732157,969,23.080099660344718,0.325748988949476,3.1813857591506904
CMF-10,Loma Prieta,6.93,0.36,3.0,0,measured,0.3743938184612777,11.91,84.70087139274926,2.511093044543319,124.81181360013774,499,11.314535684763987,0.3743938184612777,2.5107803276350813
CPT-1,Loma Prieta,6.93,0.28,1.9,0,measured,0.41064419187064866,12.92,73.53002678939352,1.8206748032634499,125.92704073922872,1068,8.05214761528954,0.41064419187064866,2.20300203511618
CPT-6,Loma Prieta,6.93,0.28,1.7,0,measured,0.31583189879998563,12.719999999999999,51.48931947541085,1.808327034418344,102.25448260782434,1186,13.773037226874889,0.31583189879998563,2.6928037102628437
FAR-58,Loma Prieta,6.93,0.36,4.8,1,measured,13.404677660554961,17.9,233.55212082409253,2.21396579474013,238.79148373770514,2,0.0,13.404677660554961,0.0
FAR-59,Loma Prieta,6.93,0.36,4.8,1,measured,0.41998535915275154,9.28,79.92264651765474,1.7925983365941107,114.13020865148542,630,17.09184043707316,0.41998535915275154,2.895461032047253
FAR-61,Loma Prieta,6.93,0.36,4.2,1,measured,0.37467045615995775,13.77,76.56702957519362,2.5056581888325824,148.64843262975677,714,18.770185396534966,0.37467045615995775,2.984175014808508
GRA-123,Loma Prieta,6.93,0.34,5.0,1,measured,0.4012124028089658,12.36,71.34336249239693,1.7840267060635902,143.78737820597524,666,13.788048941800753,0.4012124028089658,2.6938193506307666
HBI-P6,Loma Prieta,6.93,0.24,3.0,1,measured,0.4874788680063758,9.55,68.40265005845347,2.2275497634715533,97.07389161428574,459,5.801907703548075,0.4874788680063758,1.917203117476195
JRR-141,Loma Prieta,6.93,0.21,2.1,1,measured,0.5047190771294531,7.7,60.9504434120125,1.8385616808308158,79.52191392078794,891,16.40673952350495,0.5047190771294531,2.8568574601650605
JRR-148,Loma Prieta,6.93,0.21,3.0,1,measured,0.48602692550232257,8.260000000000002,52.830869099084815,1.7939217752411276,77.35659689814247,304,4.7114706224777185,0.48602692550232257,1.742476542604745
KET-74,Loma Prieta,6.93,0.47,1.5,1,measured,0.21052671174921392,11.08,63.66648081317909,2.5304924673109666,98.46207111511526,211,10.19106268289608,0.21052671174921392,2.4151154850083083
LEN-37,Loma Prieta,6.93,0.22,2.5,0,measured,0.4358935965423906,19.93,51.67386902353249,1.7969240942097735,142.300245988794,927,18.394609390445996,0.4358935965423906,2.9649951609853855
LEN-39,Loma Prieta,6.93,0.22,1.9,1,measured,0.44125687616905535,9.52,62.65927254666039,2.583753436590885,79.28471864157966,862,20.719574142893908,0.44125687616905535,3.078213888192762
LEN-51,Loma Prieta,6.93,0.22,1.8,1,measured,0.4909086868211304,11.68,71.29545535547834,2.594211163601644,105.6284586158371,646,13.296664718242896,0.4909086868211304,2.6600262735754914
LEN-52a,Loma Prieta,6.93,0.22,2.7,0,measured,0.6837395478111411,3.9999999999999996,68.93033638692671,2.115042793718017,56.959104602026294,417,2.436629203236566,0.6837395478111411,1.2344911082062588
LEN-53,Loma Prieta,6.93,0.22,2.1,1,measured,0.49460525928380694,6.18,59.6941159092627,1.8011109499416147,65.89964852517593,689,15.612947444310858,0.49460525928380694,2.8101823578714296
MAR-110,Loma Prieta,6.93,0.13,1.8,0,measured,0.9086407784197449,10.58,81.692417672885,2.0183964809156496,98.27525459971267,1096,0.13484627195315435,0.9086407784197449,0.12649719854702585
MAR-111,Loma Prieta,6.93,0.13,1.7,0,measured,0.71919149227052,14.1,53.525498473566024,1.7705069897474703,119.31825842299162,678,0.5160677647067753,0.71919149227052,0.4161199858958331
MCG-136,Loma Prieta,6.93,0.26,2.4,0,measured,0.38934694629780786,16.42,52.65022538886663,1.7778612313986557,148.326509328668,694,9.59553016789146,0.38934694629780786,2.360432229910659
MCG-138,Loma Prieta,6.93,0.26,1.8,0,measured,0.38104786157244275,19.240000000000002,51.664388484464865,1.8174333989535696,158.36669064739522,671,12.773176748150838,0.38104786157244275,2.622722986797806
ML14A,Loma Prieta,6.93,0.28,1.2,1,measured,0.5839587718847697,3.5999999999999996,105.60573065740398,1.5475405652740668,36.32775731352634,490,1.8096785483852154,0.5839587718847697,1.0330700812095295
ML15A,Loma Prieta,6.93,0.28,1.3,1,measured,0.33367482849154384,13.18,55.462377107792186,1.7543048840485134,115.0697257294882,656,9.723443867480821,0.33367482849154384,2.3724323603457544
MRR-65,Loma Prieta,6.93,0.4,5.6,1,measured,0.3657438089584045,11.58,74.97231907870166,1.8152468717607666,139.93245173785579,826,21.52187362879348,0.3657438089584045,3.114486998247347
MRR-67,Loma Prieta,6.93,0.4,6.2,0,measured,0.48762387711235716,7.279999999999999,86.65154720793691,2.592225576942334,114.59661155871788,237,1.2065351767790002,0.48762387711235716,0.7914234919430112
P007-2,Loma Prieta,6.93,0.28,3.0,1,measured,0.46446696520233477,8.450000000000001,73.58636571168796,1.7995203853967687,103.7972905220731,662,11.5315889445793,0.46446696520233477,2.5282525720875313
P007-3,Loma Prieta,6.93,0.28,3.0,0,measured,0.44279167601665026,15.92,70.24231415307592,2.192564479249427,166.71394864570465,1174,14.05607123317792,0.44279167601665026,2.7117813140471556
PD1-44,Loma Prieta,6.93,0.22,3.4,1,measured,0.5790151055235417,9.120000000000001,70.43633144937041,2.5903098354066616,106.84859368763466,503,2.575773148339358,0.5790151055235417,1.2741814180337592
POR-2,Loma Prieta,6.93,0.18,2.4,1,measured,0.6191068035472767,9.69,70.86487232594872,1.876158502737904,89.75577311717969,275,5.1572158265073345,0.6191068035472767,1.817624699157049
POR-3,Loma Prieta,6.93,0.18,2.4,1,measured,0.6308664649981178,9.4,72.8304800056337,1.823998419279089,87.52007554285147,420,6.671616116881867,0.6308664649981178,2.037527299426469
POR-4,Loma Prieta,6.93,0.18,2.4,1,measured,0.5513964521689395,9.82,57.11086442669756,1.7435208866143792,89.55197552962497,403,7.016920972775115,0.5513964521689395,2.081554429556213
RAD-98,Loma Prieta,6.93,0.38,3.5,0,measured,0.3508243004255857,10.78,77.72323524283877,2.5553991332485655,122.47924218786162,953,24.13842463898301,0.3508243004255857,3.224397537673721
RAD-99,Loma Prieta,6.93,0.38,4.1,1,measured,0.3642552006041912,11.4,78.89330568245569,1.826224396150727,129.48791573205023,839,23.741109166822064,0.3642552006041912,3.2084661988947865
RC-6,Loma Prieta,6.93,0.28,2.6,0,measured,1.4340724662671327,4.09,144.50336124012645,1.3500007926184503,61.33482225894035,697,0.0,1.4340724662671327,0.0
RC-7,Loma Prieta,6.93,0.28,3.7,0,measured,0.5095244451138685,9.43,81.3569417034518,2.4133870681262453,114.81197715173221,744,2.0581717537759374,0.5095244451138685,1.1178172713240089
SEA-31,Loma Prieta,6.93,0.22,0.8,1,measured,0.41968878221872663,8.3,69.79888040446299,1.7868646051714232,64.14679675412216,777,27.976278148218544,0.41968878221872663,3.3664775003570826
SFOBB-1,Loma Prieta,6.93,0.28,3.0,1,measured,0.41975676603463324,14.930000000000001,64.91986147135412,2.584751425462179,155.83513510946526,1148,24.729334059762685,0.41975676603463324,3.247631744099508
SFOBB-2,Loma Prieta,6.93,0.28,3.0,1,measured,0.4118791185166606,10.42,63.318665318874466,2.5882116463309677,116.2153466029732,697,12.495031208357497,0.4118791185166606,2.6023215590539928
SIL-68,Loma Prieta,6.93,0.38,3.5,1,measured,0.35361537916213115,11.030000000000001,79.44296347169045,1.8101760895887196,122.79668023150558,863,26.37099374201844,0.35361537916213115,3.309483830103323
SPR-48,Loma Prieta,6.93,0.33,5.3,1,measured,0.359376504716335,9.83,50.76398118905809,1.8065961213445743,103.89063217099604,550,18.057127159008946,0.359376504716335,2.9474411606857105
SRB-116,Loma Prieta,6.93,0.12,6.4,0,measured,1.0853151005574098,17.89,52.286814308105335,1.8148212433130406,225.89298578170053,742,0.0,1.0853151005574098,0.0
SRB-117,Loma Prieta,6.93,0.12,6.4,0,measured,1.2177070394407876,18.98,67.08041674710455,2.5962686430711583,236.57388308484025,757,0.0,1.2177070394407876,0.0
TAN-103,Loma Prieta,6.93,0.13,5.0,1,measured,1.089785455381827,16.110000000000003,77.97116307315375,2.5021287392810114,170.07286454787842,861,0.0,1.089785455381827,0.0
TAN-105,Loma Prieta,6.93,0.13,4.2,0,measured,0.8824640827459777,11.51,57.82681492895505,1.806378778912657,119.08397220453834,1086,0.1473959917876279,0.8824640827459777,0.1374950198795738
Treasure Island Fire Station (CPTU1),Loma Prieta,6.93,0.16,1.5,0,measured,0.7156400731980099,6.98,71.40508875707144,2.0616232052428263,78.9223844106661,945,1.4443520046429763,0.7156400731980099,0.8937800590246241
UC-1,Loma Prieta,6.93,0.28,2.4,1,measured,0.41045913048995575,14.82,67.13795533695576,2.5106707365506553,147.74163211063123,1254,4.855561909416936,0.41045913048995575,1.7673919633101751
UC-2,Loma Prieta,6.93,0.28,1.7,0,measured,0.3793954966090125,12.49,69.2416574453934,2.532922628848201,112.12945817016268,829,7.164356241485729,0.3793954966090125,2.0997778796503836
UC-3,Loma Prieta,6.93,0.28,1.7,0,measured,0.3471990950609808,12.86,55.58514889647975,1.7916624974654878,119.4736000339903,994,6.656734846750276,0.3471990950609808,2.0355856326624204
UC-6,Loma Prieta,6.93,0.28,1.7,0,measured,0.38988760385533217,10.169999999999998,70.21203767126363,2.5973056501337175,100.60426893781681,860,2.3649032611031813,0.38988760385533217,1.2133992141256964
UC-7,Loma Prieta,6.93,0.28,2.4,1,measured,0.4483646332134304,9.16,79.71304984250438,2.561683741769895,96.62147856318983,882,9.920515107665063,0.4483646332134304,2.39064314023584
UC-8,Loma Prieta,6.93,0.28,1.3,1,measured,0.36621715398188476,11.53,70.60072443215373,2.548973381604848,99.13025162004182,1035,20.170274015911154,0.36621715398188476,3.0525980286582426
UC-9,Loma Prieta,6.93,0.28,1.2,1,measured,0.359600830570992,5.73,65.41331785133377,1.873540819345612,53.1635628537618,1408,23.222868764070224,0.359600830570992,3.1872971771912844
UC-10,Loma Prieta,6.93,0.28,1.0,1,measured,0.3563416439187905,5.58,64.92760122156763,2.5950309305379897,53.517658519424714,1144,20.605840309651263,0.3563416439187905,3.0729636628488395
UC-11,Loma Prieta,6.93,0.28,1.0,1,measured,0.3693659717552296,5.47,69.9714766599019,2.54621807580076,51.36546540864111,1037,22.821587254348323,0.3693659717552296,3.1705921970701865
UC-12,Loma Prieta,6.93,0.28,1.9,1,measured,0.36572056594407837,14.25,64.02192237623119,1.7584504782876493,120.46446368230136,789,14.1836996849338,0.36572056594407837,2.720222463282475
UC-13,Loma Prieta,6.93,0.28,1.9,1,measured,0.3531703757812155,10.01,62.64082930845794,2.5816678744849266,87.1436336542431,420,9.330578867148123,0.3531703757812155,2.3351083190395436
UC-14,Loma Prieta,6.93,0.28,1.8,1,measured,0.39434077575084364,10.33,72.82509841591738,1.857470639055242,97.92321152354562,1198,20.70059453045816,0.39434077575084364,3.077339657888069
UC-16,Loma Prieta,6.93,0.28,2.5,1,measured,0.41285471057877327,15.17,68.6923612746204,2.056022355437154,145.57848210540635,1068,3.7160142906178795,0.41285471057877327,1.5509640129118138
UC-18,Loma Prieta,6.93,0.28,3.4,0,measured,0.44764452325547394,14.77,70.0827664552747,2.5555016938770456,159.8210726335526,1318,2.2520903567590493,0.44764452325547394,1.1792979762808262
UC-20,Loma Prieta,6.93,0.28,3.0,1,measured,0.42770823380155265,14.93,69.57341532360594,2.126775236652882,148.46663928962778,579,6.985017166465852,0.42770823380155265,2.0775669315038447
UC-21,Loma Prieta,6.93,0.28,2.7,1,measured,0.41685467631677936,14.75,69.32955673075745,2.1739641630997815,142.4151594203547,624,10.139068727962375,0.41685467631677936,2.410458633873857
