event,Mw,PGA,GWT,y,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped
Superstition Hills,6.54,0.206,1.2,1,0.4643633382786756,2.77,40.38754922171672,1.8019181964306714,25.572759815503492,558,10.496600664954071,0.4643633382786756
Elmore Ranch,6.22,0.133,1.2,0,0.7323491196395827,2.77,40.38754922171672,1.8019181964306714,25.572759815503492,558,2.111561126342986,0.7323491196395827
Westmorland,5.9,0.26,1.2,1,0.3818071934393244,2.77,40.38754922171672,1.8019181964306714,25.572759815503492,558,13.328808609301001,0.3818071934393244
Baja,7.2,0.094,1.2,0,0.9724846674563197,11.41,63.20175900320536,2.5759079139242713,95.34417553932165,558,0.020623289448325244,0.9724846674563197
Haicheng,7.0,0.3,1.0,0,0.2918992095583225,9.83,68.63309366796655,2.599819478508609,67.42630822302438,637,21.04887182274259,0.2918992095583225
Emilia,6.1,0.22,4.2,0,0.6817267161943472,12.719999999999999,73.06541050889972,1.803065296661455,136.63258190118495,321,1.059263151544031,0.6817267161943472
Emilia,6.1,0.22,4.2,0,0.6985281726933612,11.58,75.57220677487629,1.932426170808436,129.60022815499934,320,1.6387601882154723,0.6985281726933612
Emilia,6.1,0.22,2.65,0,0.6361580503358011,11.17,76.84561757084636,2.5989038582072097,114.81184015847833,55,0.029242196644053576,0.6361580503358011
Emilia,6.1,0.22,3.45,0,0.6099915179199682,16.8,58.458567931270075,1.7900930208745776,165.91895961370386,434,2.8615057849476018,0.6099915179199682
Emilia,6.1,0.31,3.8,0,0.5547284612307063,7.32,83.58200160358628,2.5975201176640135,94.96700495768789,930,7.081289558738785,0.5547284612307063
Emilia,6.1,0.27,4.2,0,0.5178875266065182,9.25,63.06908928508539,2.5662038598467767,109.5876740234072,656,5.323618601786626,0.5178875266065182
Emilia,6.1,0.27,3.7,0,0.5555999724796598,9.510000000000002,75.95401182771747,1.8389069620080185,107.69066159640869,682,5.41307425861284,0.5555999724796598
Emilia,6.1,0.27,3.25,0,0.5250044883868066,7.99,70.8932232935177,2.516150283214202,93.22464594809423,564,3.66332317376624,0.5250044883868066
Emilia,6.1,0.27,3.2,0,0.5210199616161049,8.850000000000001,72.35785365651941,2.5466385682094472,99.00671312549092,495,2.838701441390959,0.5210199616161049
Emilia,6.1,0.25,2.5,0,0.5305576768518007,7.97,73.46739887619378,2.585584867290213,81.68578732408434,321,5.657586636360122,0.5305576768518007
Emilia,6.1,0.25,2.5,0,0.5407657629546666,7.57,74.5041433826579,1.7971422447839835,79.26274126518928,381,4.271102727941366,0.5407657629546666
Emilia,6.1,0.19,4.9,0,1.2192230173653027,7.0600000000000005,100.67892736663063,2.2044851902404066,110.77540438800828,777,0.0,1.2192230173653027
Emilia,6.1,0.19,4.9,0,1.098614466569729,12.81,99.54812818628234,1.81916033713192,159.25050083142418,664,0.0,1.098614466569729
Emilia,6.1,0.23,3.4,0,0.6913010668733993,15.24,79.67099427661583,1.9367760887706476,160.35062354127365,318,1.3373958942282074,0.6913010668733993
Emilia,6.1,0.59,3.0,1,0.21521345127590957,11.5,64.87746202467297,1.8895937442617874,113.70334261732292,567,22.34320718727701,0.21521345127590957
Emilia,6.1,0.6,3.0,1,0.19563783362717202,9.85,59.0970060953417,1.7886519862121728,92.72328867535126,669,30.37716151304492,0.19563783362717202
Emilia,6.1,0.59,3.0,1,0.2045027564360614,10.39,60.81277399074004,1.8021648110572943,100.77885077509416,663,26.819429016834096,0.2045027564360614
Emilia,6.1,0.59,3.0,1,0.1910838298616731,11.19,50.97274613759335,1.8088348346912912,110.84584586509324,718,24.168690417716352,0.1910838298616731
Emilia,6.1,0.73,3.0,0,0.1895409774085704,12.63,73.98532568952474,2.5595615786195594,122.0942656502892,234,7.662772174014943,0.1895409774085704
Emilia,6.1,0.58,1.8,0,0.25641507658816304,19.41,78.42091408342151,2.3449697613877576,159.55293115818387,298,9.924963947814678,0.25641507658816304
Emilia,6.1,0.6,5.0,1,0.2341697776550391,9.950000000000001,58.606189840117786,1.8066680679288396,117.46982168481108,520,17.657672573230652,0.2341697776550391
Emilia,6.1,0.6,4.84,1,0.2306976582232,8.28,52.78289950288764,1.7875604301204175,109.00496485060793,574,21.755285976255692,0.2306976582232
Emilia,6.1,0.6,5.16,1,0.2300187754878112,8.55,50.72568158469691,1.8074691967061878,111.06833849366276,515,18.391555336768988,0.2300187754878112
Emilia,6.1,0.59,4.22,1,0.2317542713016737,9.98,60.61557874325087,1.8379135097421389,118.38920742688973,417,15.222434744543794,0.2317542713016737
