case,earthquake,site,liquefied_raw,data_class,crit_depth_m,water_depth_ft,sigma_v_psf,sigma_eff_psf,rd,amax_g,Mw,CSR_cetin,FC,N1_60,N1_60cs,sigma_eff_kpa,sigma_v_kpa,y,CSR_mine,CRR_BI2014,FS_BI2014,pred_liq,score_liq
1.0,1944 Tohnankai M=8.0,Ienaga,Yes,B,4.2672,8.0,1460.0,1085.6,0.874484167935057,0.2,8.1,0.15288973385600024,72.5,2.190479236214506,5.418124658496085,51.978809061839996,69.905177994,1.0,0.15288973385600024,0.09107870619307107,0.5957149894632813,1,1.6786550912559135
2.0,1944 Tohnankai M=8.0,Komei,Yes,B,3.4753600000000002,6.430446194225722,1214.7847769028872,904.5535958005249,0.9690444150990508,0.2,8.1,0.16918118857647993,9.666666666666666,8.892251935138628,9.891872291568328,43.310260355855085,58.16420962588898,1.0,0.16918118857647993,0.12207319556556104,0.7215530083025555,1,1.3858995645413321
3.0,1944 Tohnankai M=8.0,Meiko,Yes,B,1.9938399999999998,1.6404199475065615,703.1574803149605,397.331968503937,0.9220490888785406,0.2,8.1,0.2121272626149009,19.333333333333332,3.6269586357587875,5.456221823632948,19.024357521215148,33.667362204951964,1.0,0.2121272626149009,0.09551467926036264,0.4502706445317284,1,2.220886509357007
4.0,1948 Fukui M=7.3,Shonenji Temple,Yes,B,2.57556,3.9370078740157477,912.6948818897637,631.0841732283463,0.9743562742374702,0.4,7.0,0.36637806145885643,0.0,6.537410537309423,7.03479508085142,30.216473601865673,43.70006724158681,1.0,0.3663780614588565,0.11089672546074313,0.3026838589056638,1,3.3037770947398477
5.0,1948 Fukui M=7.3,Takaya 45,Yes,B,7.97052,12.3,3084.25,2220.0099999999998,0.8544959868556613,0.35,7.0,0.27007604866511997,3.2857142857142856,20.561808436436927,21.176282068034162,106.29465356058898,147.674688512325,1.0,0.27007604866511997,0.24059986815165232,0.8908597017056609,1,1.1225112080896427
6.0,1964 Niigata M=7.5,Arayamotomachi,Yes,A,3.2500000000000004,3.280839895013123,1177.0013123359581,716.3713910761155,0.940558934948765,0.09,7.6,0.09040253170553178,5.0,7.888457144880974,8.397121517784523,34.30004767327756,56.35512756028544,1.0,0.09040253170553177,0.11666259884409193,1.2904793333011633,0,0.7749058618722
7.0,1964 Niigata M=7.5,Cc17-1,Yes,B,8.0,3.0,3089.6062992125985,1639.0110236220473,0.8016941279655067,0.16,7.6,0.15716770416976522,2.0,10.853943901678564,11.387366994527937,78.47627215097764,147.9311495053701,1.0,0.1571677041697652,0.13017316637508758,0.8282437353317867,1,1.207374058313172
8.0,1964 Niigata M=7.5,Cc17-2,Yes,A,5.25,3.0,2006.9291338582675,1119.3259842519683,0.9001044845383398,0.16,7.6,0.1678424137838135,2.0,11.083707067610794,11.619048443138768,53.59361791948157,96.0922865230866,1.0,0.1678424137838135,0.1367088307315799,0.8145070584343796,1,1.2277364445707435
11.0,1964 Niigata M=7.5,Rail Road-1,Yes,A,7.500000000000001,3.0,3030.7874015748034,1682.5543307086614,0.8537505244310134,0.16,7.6,0.15993764586141573,2.0,11.320052622890206,11.857367237179131,80.56113696764693,145.11488545825986,1.0,0.15993764586141576,0.133355170220083,0.8337947548361055,1,1.1993359207405478
13.0,1964 Niigata M=7.5,River Site,Yes,A,4.0,1.9685039370078738,1423.8845144356956,727.8215223097113,0.9296397141858016,0.16,7.6,0.1891463132865594,0.0,6.603520100568655,7.101456589978804,34.8482829211811,68.1759591948819,1.0,0.18914631328655945,0.10705343311497988,0.5659821291509519,1,1.7668402384014001
15.0,1964 Niigata M=7.5,Showa Br 2,Yes,A,3.7338,0.0,1470.0,705.6,0.8979485597718472,0.16,7.6,0.19455552128390025,10.0,6.796544514052575,7.795640597737666,33.784310679840004,70.383980583,1.0,0.19455552128390025,0.11233385138669583,0.5773871162606353,1,1.731940273410249
19.0,1968 Tokachioki M=7.9,Hachinohe-6,Yes,B,4.05384,2.0,1632.5,927.3800000000001,0.9878685685641325,0.225,8.3,0.2543258511440438,5.0,6.805431117233461,7.305053352939432,44.403194498682005,78.16452265425,1.0,0.2543258511440439,0.10330577630040572,0.406194556454648,1,2.4618744493481435
20.0,1968 Tokachioki M=7.9,Nanaehama1-2-3,Yes,B,2.9572000000000003,2.5044033465433726,1139.2079350385034,690.0716802407625,0.9656127949100839,0.2,8.3,0.20723120894893443,21.666923076923084,9.577822611602219,11.843180937646009,33.04081070948572,54.545570870577926,1.0,0.2072312089489344,0.13639511609734287,0.6581784509636921,1,1.519344789450064
