case_id,event,y,vs1,csr,mw,sigma_eff_kpa,fc,s_Vs,p_liq
9001,1906 San Francisco M7.7 Earthquake,1,172.0,0.3,7.7,54.03,0.0,2.3833560067366695,0.9914222027262157
9002,1906 San Francisco M7.7 Earthquake,0,172.1,0.19,7.7,117.47,0.0,0.5446250859783182,0.7069943011099373
118,1948 Fukui M7.1 Earthquake,1,142.3,0.4,7.1,74.83,0.0,4.733427870963105,0.9999988962028188
103,1948 Fukui M7.1 Earthquake,1,201.9,0.55,7.1,61.23,0.0,2.1679543065622973,0.9849189183508994
101,1948 Fukui M7.1 Earthquake,1,169.4,0.53,7.1,73.45,0.0,4.415438900459798,0.9999949597374806
102,1948 Fukui M7.1 Earthquake,1,197.4,0.55,7.1,59.05,0.0,2.5443182464124736,0.9945254361631168
120,1948 Fukui M7.1 Earthquake,1,135.4,0.51,7.1,40.07,0.0,6.004334100683594,0.9999999990394063
114,1948 Fukui M7.1 Earthquake,1,153.4,0.35,7.1,87.87,0.0,3.6546845240848604,0.9998712507947216
116,1948 Fukui M7.1 Earthquake,1,134.0,0.39,7.1,59.14,0.0,4.984547838496449,0.9999996894656059
115,1948 Fukui M7.1 Earthquake,1,161.5,0.44,7.1,63.49,0.0,4.131375314323552,0.9999819700365472
117,1948 Fukui M7.1 Earthquake,1,222.6,0.57,7.1,42.25,0.0,0.3669514728077549,0.6431723921156881
121,1948 Fukui M7.1 Earthquake,0,312.5,0.37,7.1,16.18,0.0,-14.252121427772147,2.174336206245642e-46
119,1948 Fukui M7.1 Earthquake,1,186.4,0.48,7.1,12.22,0.0,2.819542358845626,0.997595390844837
9013,1964 Niigata M7.5 Earthquake,0,167.1,0.1,7.5,80.88,0.0,-1.8912271890056322,0.029297011688687973
9014,1964 Niigata M7.5 Earthquake,1,122.2,0.16,7.5,48.52,0.0,2.118192298816559,0.982920607428692
9015,1964 Niigata M7.5 Earthquake,1,145.1,0.16,7.5,37.66,0.0,1.1799117969497663,0.880982351298286
96,1964 Niigata M7.5 Earthquake,1,135.0,0.12,7.5,78.43,0.0,0.4779348515498272,0.6836517125262711
99,1964 Niigata M7.5 Earthquake,1,141.6,0.14,7.5,84.49,0.0,0.8177107940670123,0.7932388272522257
100,1964 Niigata M7.5 Earthquake,1,135.3,0.12,7.5,108.33,0.0,0.4721339771210753,0.6815844191510999
97,1964 Niigata M7.5 Earthquake,1,145.8,0.12,7.5,49.83,0.0,-0.011610069468549287,0.49536835646356997
98,1964 Niigata M7.5 Earthquake,0,163.1,0.15,7.5,75.8,0.0,-0.0137555162731168,0.4945125160221235
95,1964 Niigata M7.5 Earthquake,0,170.6,0.13,7.5,79.52,0.0,-1.0467981734976586,0.14759633649084059
64B,1968 Tokachi Oki Earthquake,1,139.0,0.21,7.9,57.45,0.0,2.8486725049352377,0.9978048977032573
65B,1968 Tokachi Oki Earthquake,1,139.0,0.21,7.9,57.45,0.0,2.8486725049352377,0.9978048977032573
65A,1968 Tokachi Oki Earthquake,1,131.9,0.23,7.9,40.51,0.0,3.505477436386806,0.9997721054333866
56A,1968 Tokachi Oki Earthquake,1,148.5,0.21,7.9,28.15,0.0,2.3932974078284266,0.9916511500276368
41,1968 Tokachi Oki Earthquake,1,109.9,0.08,7.9,61.8,0.0,-0.010762916032778496,0.49570630063155546
74,1973 Miyagi Ken Oki Earthquake,1,116.9,0.2,7.4,31.38,0.0,3.11551967159151,0.99908189449604
80A,1973 Miyagi Ken Oki Earthquake,1,144.4,0.2,7.4,44.81,0.0,2.0462888434839797,0.9796360196476405
84,1973 Miyagi Ken Oki Earthquake,1,171.3,0.2,7.4,101.05,0.0,0.5839354306892861,0.7203681227196185
81A,1973 Miyagi Ken Oki Earthquake,1,140.9,0.25,7.4,50.6,0.0,3.1118507848081074,0.9990704077705937
82A,1973 Miyagi Ken Oki Earthquake,0,172.2,0.21,7.4,50.17,0.0,0.7094441547631742,0.7609755523738706
79A,1973 Miyagi Ken Oki Earthquake,1,160.4,0.16,7.4,78.99,0.0,0.33007559536052306,0.6293285785627423
77A,1973 Miyagi Ken Oki Earthquake,1,171.8,0.36,7.4,50.45,0.0,2.9162778363908943,0.9982288254998252
83,1973 Miyagi Ken Oki Earthquake,1,110.2,0.15,7.4,86.82,0.0,2.175572801742004,0.9852063905433013
78A,1973 Miyagi Ken Oki Earthquake,1,165.2,0.16,7.4,58.9,0.0,0.0454845287200544,0.5181394467857218
75A,1973 Miyagi Ken Oki Earthquake,1,143.1,0.26,7.4,41.54,0.0,3.166696063523364,0.999229093142263
76A,1973 Miyagi Ken Oki Earthquake,1,165.1,0.25,7.4,52.62,0.0,1.855054229209419,0.9682057585068895
9021,1975 Haicheng M7.1 Earthquake,1,133.0,0.1,7.1,84.01,0.0,-0.4749340117589493,0.31741700405597795
9018,1975 Haicheng M7.1 Earthquake,1,101.3,0.11,7.1,70.97,0.0,0.9286986974816563,0.8234773720110846
9019,1975 Haicheng M7.1 Earthquake,1,107.0,0.14,7.1,41.76,0.0,1.74568831800197,0.9595674369424977
9017,1975 Haicheng M7.1 Earthquake,1,101.9,0.13,7.1,19.17,0.0,1.5628570729477693,0.9409568917635354
9020,1975 Haicheng M7.1 Earthquake,0,122.5,0.1,7.1,94.39,0.0,-0.07865947219822854,0.46865174102705637
9016,1975 Haicheng M7.1 Earthquake,1,152.1,0.12,7.1,40.07,0.0,-0.6258490446319434,0.26570697968645973
186,1976 Tangshan M8 Earthquake,0,229.9,0.34,8.0,59.39,0.0,-1.8337972166346128,0.03334205053230343
183,1976 Tangshan M8 Earthquake,1,175.6,0.38,8.0,72.64,0.0,3.318979784709844,0.9995482651518326
185,1976 Tangshan M8 Earthquake,1,195.5,0.38,8.0,84.83,0.0,1.859639887411562,0.9685317539801661
208,1976 Tangshan M8 Earthquake,1,172.7,0.45,8.0,40.95,0.0,4.181363991398287,0.9999855117219516
207,1976 Tangshan M8 Earthquake,1,201.7,0.42,8.0,17.31,0.0,1.7172388954972198,0.957032234247625
184,1976 Tangshan M8 Earthquake,1,171.7,0.53,8.0,36.69,0.0,4.905443939977337,0.9999995339186878
196,1976 Tangshan M8 Earthquake,0,283.3,0.53,8.0,41.95,0.0,-7.094894968670778,6.472487996323642e-13
198,1976 Tangshan M8 Earthquake,1,177.9,0.4,8.0,29.57,0.0,3.35327287109164,0.9996006903503011
191,1976 Tangshan M8 Earthquake,0,217.5,0.43,8.0,33.81,0.0,0.38049707073121075,0.648211764724024
197,1976 Tangshan M8 Earthquake,1,216.5,0.48,8.0,55.98,0.0,0.9333749768931905,0.824686802218302
192,1976 Tangshan M8 Earthquake,0,336.6,0.49,8.0,35.43,0.0,-17.296701478600138,2.4905182612231556e-67
200,1976 Tangshan M8 Earthquake,0,251.9,0.48,8.0,22.38,0.0,-3.0454507105714166,0.0011616592807433387
199,1976 Tangshan M8 Earthquake,1,194.8,0.46,8.0,22.76,0.0,2.6619757090450618,0.996115825784762
203,1976 Tangshan M8 Earthquake,1,190.5,0.2,8.0,11.03,0.0,-0.38545543498615104,0.34995000907294854
205,1976 Tangshan M8 Earthquake,1,142.0,0.18,8.0,19.08,0.0,2.137126473490672,0.9837061468710586
204,1976 Tangshan M8 Earthquake,0,243.2,0.16,8.0,36.27,0.0,-6.4071303671505015,7.414201111880597e-11
202,1976 Tangshan M8 Earthquake,1,173.6,0.24,8.0,41.33,0.0,1.5794822669724222,0.9428872595941205
187,1976 Tangshan M8 Earthquake,1,140.9,0.15,8.0,58.42,0.0,1.4719376935290844,0.9294811481911931
190,1976 Tangshan M8 Earthquake,0,181.7,0.19,8.0,51.89,0.0,0.08870381500219612,0.5353413497215125
195,1976 Tangshan M8 Earthquake,1,184.5,0.39,8.0,39.96,0.0,2.7925329834278574,0.9973851432194566
194,1976 Tangshan M8 Earthquake,0,265.2,0.44,8.0,57.86,0.0,-5.153746521649901,1.2766651341821866e-07
201,1976 Tangshan M8 Earthquake,1,184.2,0.43,8.0,18.88,0.0,3.1939766433313577,0.9992983626484389
193,1976 Tangshan M8 Earthquake,1,152.8,0.46,8.0,42.55,0.0,5.426250027115245,0.9999999712248357
206,1976 Tangshan M8 Earthquake,1,191.0,0.34,8.0,26.74,0.0,1.7414079875989812,0.9591939554596146
80B,1978 Miyagi Ken Oki M6.7 Earthquake,0,144.4,0.12,6.7,44.81,0.0,-0.5615392981733491,0.28721497409614166
81B,1978 Miyagi Ken Oki M6.7 Earthquake,0,140.9,0.12,6.7,50.6,0.0,-0.39894543931429244,0.3449667034513874
82B,1978 Miyagi Ken Oki M6.7 Earthquake,0,172.2,0.1,6.7,50.17,0.0,-2.83359589996288,0.0023013747540120864
79B,1978 Miyagi Ken Oki M6.7 Earthquake,0,160.4,0.09,6.7,78.99,0.0,-2.5389127919481123,0.005559876866978773
77B,1978 Miyagi Ken Oki M6.7 Earthquake,1,167.9,0.13,6.7,52.62,0.0,-1.5010357146639777,0.0666731621664147
78B,1978 Miyagi Ken Oki M6.7 Earthquake,0,165.2,0.1,6.7,58.9,0.0,-2.397154173685004,0.008261484918733058
75B,1978 Miyagi Ken Oki M6.7 Earthquake,1,143.1,0.13,6.7,41.54,0.0,-0.17891072134676414,0.42900390210002054
76B,1978 Miyagi Ken Oki M6.7 Earthquake,0,165.1,0.12,6.7,52.62,0.0,-1.6557419949129797,0.048887039471047306
9030,1979 Imperial Valley M6.5 Earthquake,1,147.1,0.41,6.5,41.48,0.0,4.115484068612906,0.9999806816157456
9029,1979 Imperial Valley M6.5 Earthquake,1,155.7,0.4,6.5,39.3,0.0,3.576491598615499,0.9998258817484947
9032,1979 Imperial Valley M6.5 Earthquake,0,203.9,0.39,6.5,38.0,0.0,0.11404737021063399,0.5453998788059009
9031,1979 Imperial Valley M6.5 Earthquake,0,195.9,0.41,6.5,42.34,0.0,0.9906200129737681,0.8390644191731517
9028,1979 Imperial Valley M6.5 Earthquake,0,117.1,0.09,6.5,50.21,0.0,-0.8180670455933278,0.20665945240214256
9026,1979 Imperial Valley M6.5 Earthquake,1,160.3,0.45,6.5,33.51,0.0,3.796894032383805,0.9999267398075314
9025,1979 Imperial Valley M6.5 Earthquake,1,98.3,0.18,6.5,48.86,0.0,2.505529765213442,0.9938865946662782
9027,1979 Imperial Valley M6.5 Earthquake,0,114.6,0.09,6.5,49.97,0.0,-0.7395583934600533,0.2297839977460468
9024,1979 Imperial Valley M6.5 Earthquake,0,122.9,0.12,6.5,48.38,0.0,0.15097144211612257,0.5600008782270613
9022,1979 Imperial Valley M6.5 Earthquake,0,136.7,0.12,6.5,48.38,0.0,-0.38189782084378143,0.3512685783597216
9023,1979 Imperial Valley M6.5 Earthquake,0,133.6,0.12,6.5,48.38,0.0,-0.2532460648979719,0.400039035868329
9004,1980 Mid Chiba M5.9 Earthquake,0,152.7,0.05,5.9,135.78,0.0,-5.181738674195315,1.0991353108897862e-07
9005,1980 Mid Chiba M5.9 Earthquake,0,153.8,0.07,5.9,60.62,0.0,-3.8940243346422707,4.9297376256212424e-05
9040,1981 Westmorland M5.9 Earthquake,0,158.5,0.02,5.9,39.3,0.0,-9.225361105906558,1.413035197596862e-20
9039,1981 Westmorland M5.9 Earthquake,0,155.7,0.02,5.9,39.3,0.0,-9.07298153298459,5.790195908327174e-20
9042,1981 Westmorland M5.9 Earthquake,0,203.9,0.02,5.9,38.0,0.0,-12.432975242908629,8.653536886500149e-36
9041,1981 Westmorland M5.9 Earthquake,0,195.9,0.02,5.9,40.17,0.0,-11.759856822291294,3.142038381822605e-32
9038,1981 Westmorland M5.9 Earthquake,1,117.1,0.28,5.9,50.21,0.0,3.24771445711877,0.9994183202189807
9036,1981 Westmorland M5.9 Earthquake,0,128.7,0.06,5.9,39.59,0.0,-3.396602183621881,0.00034114038989970695
9035,1981 Westmorland M5.9 Earthquake,1,98.3,0.17,5.9,48.86,0.0,1.7472288752509622,0.9597011775734828
9037,1981 Westmorland M5.9 Earthquake,1,114.6,0.22,5.9,49.97,0.0,2.350341714854738,0.9906219084462436
9034B,1981 Westmorland M5.9 Earthquake,1,122.9,0.25,5.9,48.38,0.0,2.59403110120461,0.9952571047176909
9033,1981 Westmorland M5.9 Earthquake,1,136.7,0.25,5.9,48.38,0.0,2.061161838244707,0.9803561985465036
9034,1981 Westmorland M5.9 Earthquake,1,133.6,0.25,5.9,48.38,0.0,2.1898135941905155,0.9857311207864605
73,1983 Nihonkai-Chubu M7.7 Earthquake,1,145.2,0.18,7.7,57.45,0.0,1.8037095696953707,0.9643615757228472
72,1983 Nihonkai-Chubu M7.7 Earthquake,1,184.2,0.24,7.7,48.76,0.0,0.6457821116909012,0.7407897627874143
71,1983 Nihonkai-Chubu M7.7 Earthquake,1,154.5,0.26,7.7,40.07,0.0,2.819391333735968,0.9975942590429682
69,1983 Nihonkai-Chubu M7.7 Earthquake,1,164.9,0.19,7.7,68.92,0.0,0.9782141864754567,0.8360157992728605
70,1983 Nihonkai-Chubu M7.7 Earthquake,1,158.3,0.23,7.7,42.73,0.0,2.1194469258009496,0.9829736426902473
68,1983 Nihonkai-Chubu M7.7 Earthquake,1,125.9,0.12,7.7,49.2,0.0,0.9659631350900773,0.8329686859192437
64A,1983 Nihonkai-Chubu M7.7 Earthquake,1,139.0,0.12,7.7,57.45,0.0,0.44461046344778643,0.6716993577282091
67B,1983 Nihonkai-Chubu M7.7 Earthquake,1,123.4,0.27,7.7,40.36,0.0,4.333066334791671,0.9999926476610352
67A,1983 Nihonkai-Chubu Aftershocks,1,123.4,0.11,7.0,40.36,0.0,0.18084753901135955,0.5717563762307245
64C,1983 Nihonkai-Chubu Aftershocks,1,139.0,0.11,7.0,57.45,0.0,-0.42611488097678607,0.3350120686602678
9059B,1983 Borah Peak M6.9 Earthquake,1,157.2,0.52,6.9,29.02,0.0,4.875863365338808,0.9999994583321091
9057,1983 Borah Peak M6.9 Earthquake,1,141.7,0.28,6.9,21.63,0.0,3.1363014815847094,0.9991445338787137
9063,1983 Borah Peak M6.9 Earthquake,0,275.2,0.43,6.9,26.17,0.0,-7.513356693261013,2.881511176955254e-14
9043,1983 Borah Peak M6.9 Earthquake,1,123.2,0.29,6.9,33.32,0.0,4.028397409629391,0.9999719208216166
9059A,1983 Borah Peak M6.9 Earthquake,1,157.2,0.52,6.9,29.02,0.0,4.875863365338808,0.9999994583321091
9060,1983 Borah Peak M6.9 Earthquake,1,217.0,0.52,6.9,29.02,0.0,0.39026260098731574,0.6518288124181718
9054,1983 Borah Peak M6.9 Earthquake,1,156.2,0.26,6.9,25.49,0.0,2.1224893352623275,0.9831016663357275
9065,1983 Borah Peak M6.9 Earthquake,0,328.6,0.18,6.9,43.94,0.0,-20.468616677159822,2.05048263440583e-93
9064,1983 Borah Peak M6.9 Earthquake,0,319.2,0.31,6.9,47.66,0.0,-16.384038450279647,1.2433511576530932e-60
9044,1983 Borah Peak M6.9 Earthquake,1,114.9,0.31,6.9,33.17,0.0,4.5723520019230595,0.999997588600735
9045,1983 Borah Peak M6.9 Earthquake,1,124.5,0.3,6.9,27.43,0.0,4.115479544804456,0.9999806812368234
9055,1983 Borah Peak M6.9 Earthquake,1,135.6,0.26,6.9,25.49,0.0,3.104904203654806,0.9990482966990799
9046,1983 Borah Peak M6.9 Earthquake,1,123.4,0.3,6.9,37.37,0.0,4.160908764338017,0.9999841508144971
9047,1983 Borah Peak M6.9 Earthquake,1,148.1,0.3,6.9,37.37,0.0,3.1256097601434605,0.9991128157986072
9062,1983 Borah Peak M6.9 Earthquake,0,232.6,0.5,6.9,25.11,0.0,-1.390617607621694,0.08217070706293567
9048,1983 Borah Peak M6.9 Earthquake,1,167.9,0.27,6.9,35.39,0.0,1.6084472200785478,0.9461313665500426
9049,1983 Borah Peak M6.9 Earthquake,1,170.9,0.29,6.9,28.39,0.0,1.7060696483464988,0.9560024435906864
9050,1983 Borah Peak M6.9 Earthquake,1,141.7,0.29,6.9,29.26,0.0,3.284521269260813,0.999489221063727
9051,1983 Borah Peak M6.9 Earthquake,1,175.5,0.29,6.9,28.39,0.0,1.4076328661393973,0.9203800948996386
9052,1983 Borah Peak M6.9 Earthquake,1,155.8,0.29,6.9,28.39,0.0,2.588085486163201,0.9951744487024868
9061,1983 Borah Peak M6.9 Earthquake,1,216.0,0.52,6.9,29.45,0.0,0.48753180157814796,0.6870592440432206
9056,1983 Borah Peak M6.9 Earthquake,1,141.7,0.28,6.9,21.63,0.0,3.1363014815847094,0.9991445338787137
9058,1983 Borah Peak M6.9 Earthquake,1,167.1,0.52,6.9,29.02,0.0,4.30538203532687,0.999991665109864
9053,1983 Borah Peak M6.9 Earthquake,1,195.2,0.3,6.9,31.0,0.0,0.10162147332266346,0.5404714327810367
9071,1986 Lotung LSST Earthquake Events,0,159.2,0.2,6.2,33.07,0.0,0.3196970236733801,0.6254009918815304
9072,1986 Lotung LSST Earthquake Events,0,159.2,0.2,6.2,33.07,0.0,0.3196970236733801,0.6254009918815304
9073,1986 Lotung LSST Earthquake Events,0,159.2,0.18,6.2,33.07,0.0,-0.10665266123019487,0.45753226958918325
9069,1986 Lotung LSST Earthquake Events,0,159.2,0.24,6.6,33.07,0.0,1.397677933778993,0.9188950982457771
9070,1986 Lotung LSST Earthquake Events,0,159.2,0.05,6.2,33.07,0.0,-5.2900530839151125,6.114043227841066e-08
9068,1986 Lotung LSST Earthquake Events,0,159.2,0.07,6.0,33.07,0.0,-4.106916123836764,2.0048837653620283e-05
9067,1986 Chiba-Ibaragi-Kenkyo M6 Earthquake,0,152.7,0.04,6.0,135.78,0.0,-5.993251428712149,1.0284323173917311e-09
9066,1986 Chiba-Ibaragi-Kenkyo M6 Earthquake,0,153.8,0.06,6.0,60.62,0.0,-4.426351961453537,4.792005105458706e-06
9092,1987 Chiba-Toho-Oki M6.5 Earthquake,0,110.8,0.06,6.5,112.02,0.0,-2.249986527002363,0.012224900289780552
9112,1987 Superstition Hills M6.5 Earthquake,0,158.5,0.14,6.5,39.3,0.0,-0.8240764839226637,0.2049480505295046
9111,1987 Superstition Hills M6.5 Earthquake,0,155.7,0.14,6.5,39.3,0.0,-0.6716969110006936,0.25088833414650796
9114,1987 Superstition Hills M6.5 Earthquake,0,203.9,0.14,6.5,38.0,0.0,-4.031690620924734,2.768852733746716e-05
9113,1987 Superstition Hills M6.5 Earthquake,0,211.7,0.14,6.5,38.0,0.0,-4.734229358910877,1.0994448110006931e-06
9110,1987 Superstition Hills M6.5 Earthquake,0,117.1,0.11,6.5,41.52,0.0,-0.009949375486079591,0.49603083893971156
9108,1987 Superstition Hills M6.5 Earthquake,0,146.0,0.17,6.5,34.81,0.0,0.602251331715922,0.7264965742778006
9107,1987 Superstition Hills M6.5 Earthquake,0,99.4,0.1,6.5,43.46,0.0,0.09860517405916584,0.5392741191299443
9109,1987 Superstition Hills M6.5 Earthquake,0,114.6,0.1,6.5,43.46,0.0,-0.31608219643384294,0.3759700598599758
9106,1987 Superstition Hills M6.5 Earthquake,1,122.9,0.19,6.5,48.38,0.0,2.0105054678396503,0.9778111409533956
9104,1987 Superstition Hills M6.5 Earthquake,1,136.7,0.19,6.5,48.38,0.0,1.4776362048797462,0.9302474108725454
9105,1987 Superstition Hills M6.5 Earthquake,1,133.6,0.19,6.5,48.38,0.0,1.6062879608255558,0.9458946728282054
9101,1987 Elmore Ranch M5.9 Earthquake,0,158.5,0.02,5.9,39.3,0.0,-9.225361105906558,1.413035197596862e-20
9100,1987 Elmore Ranch M5.9 Earthquake,0,155.7,0.02,5.9,39.3,0.0,-9.07298153298459,5.790195908327174e-20
9103,1987 Elmore Ranch M5.9 Earthquake,0,203.9,0.02,5.9,38.0,0.0,-12.432975242908629,8.653536886500149e-36
9102,1987 Elmore Ranch M5.9 Earthquake,0,211.7,0.02,5.9,38.0,0.0,-13.135513980894775,1.0304367472208205e-39
9099,1987 Elmore Ranch M5.9 Earthquake,0,117.1,0.12,5.9,50.21,0.0,-0.1809435514349798,0.4282059419600878
9097,1987 Elmore Ranch M5.9 Earthquake,0,146.0,0.05,5.9,34.81,0.0,-4.876857868922574,5.389452155716412e-07
9096,1987 Elmore Ranch M5.9 Earthquake,0,98.3,0.09,5.9,48.86,0.0,-0.8263501225388359,0.20430275419672383
9098,1987 Elmore Ranch M5.9 Earthquake,0,114.6,0.07,5.9,49.97,0.0,-2.283526998336451,0.011199672197572275
9095,1987 Elmore Ranch M5.9 Earthquake,0,122.9,0.11,5.9,48.38,0.0,-0.7281318314797102,0.2332664449813009
9093,1987 Elmore Ranch M5.9 Earthquake,0,136.7,0.11,5.9,48.38,0.0,-1.2610010944396142,0.1036542264176909
9094,1987 Elmore Ranch M5.9 Earthquake,0,133.6,0.11,5.9,48.38,0.0,-1.1323493384938046,0.12874379745028414
523,1989 Loma Prieta M7.0 Earthquake,1,182.1,0.26,7.0,78.97,0.0,0.6116381191957676,0.7296113941084954
524,1989 Loma Prieta M7.0 Earthquake,1,166.4,0.22,7.0,96.07,0.0,0.9698609869085939,0.8339421056941677
525,1989 Loma Prieta M7.0 Earthquake,1,134.8,0.2,7.0,99.44,0.0,2.1827674008144053,0.9854735282501725
526,1989 Loma Prieta M7.0 Earthquake,0,166.2,0.21,7.0,81.86,0.0,0.7903777262311754,0.7853463968659176
527,1989 Loma Prieta M7.0 Earthquake,0,187.0,0.26,7.0,62.18,0.0,0.2503153650451971,0.5988282624821456
528,1989 Loma Prieta M7.0 Earthquake,0,153.1,0.2,7.0,52.98,0.0,1.3181666426154368,0.9062760652894177
529,1989 Loma Prieta M7.0 Earthquake,0,159.0,0.2,7.0,41.28,0.0,0.9957776997212968,0.8403209161121641
531,1989 Loma Prieta M7.0 Earthquake,1,222.9,0.43,7.0,35.3,0.0,-0.8850864356648283,0.1880550073439365
532,1989 Loma Prieta M7.0 Earthquake,1,182.4,0.19,7.0,85.94,0.0,-0.6771931225310073,0.24914171538518393
533,1989 Loma Prieta M7.0 Earthquake,1,124.6,0.16,7.0,48.57,0.0,1.6582407477566254,0.9513655583900753
534,1989 Loma Prieta M7.0 Earthquake,1,135.1,0.15,7.0,74.74,0.0,1.0003442353328673,0.841428026604923
535,1989 Loma Prieta M7.0 Earthquake,1,147.1,0.19,7.0,45.77,0.0,1.4084079325120138,0.9204948441638364
536,1989 Loma Prieta M7.0 Earthquake,1,151.1,0.21,7.0,72.99,0.0,1.6248781052797356,0.9479057328461652
537,1989 Loma Prieta M7.0 Earthquake,1,151.3,0.23,7.0,29.4,0.0,1.964123899814381,0.975242137389981
538,1989 Loma Prieta M7.0 Earthquake,0,206.3,0.25,7.0,41.55,0.0,-1.4914318508516082,0.06792407550938748
541,1989 Loma Prieta M7.0 Earthquake,0,157.6,0.06,7.0,104.97,0.0,-3.779740480575693,7.849595170513454e-05
9117,1989 Loma Prieta M7.0 Earthquake,1,144.2,0.12,7.0,80.0,0.0,-0.3019178733295005,0.3813573351247239
9116,1989 Loma Prieta M7.0 Earthquake,1,147.7,0.12,7.0,80.0,0.0,-0.4687418856715257,0.31962707186744926
9119,1989 Loma Prieta M7.0 Earthquake,1,132.8,0.12,7.0,80.0,0.0,0.19270522953642594,0.5764050861775851
9118,1989 Loma Prieta M7.0 Earthquake,1,132.4,0.12,7.0,80.0,0.0,0.20874510049538633,0.5826763847395489
517,1989 Loma Prieta M7.0 Earthquake,1,145.6,0.24,7.0,90.1,0.0,2.4395392325216188,0.992646997132465
518,1989 Loma Prieta M7.0 Earthquake,1,129.3,0.2,7.0,90.71,0.0,2.3998018227919893,0.9917980249343442
