y,pA,pB,instrument,event,inband_A
1.0,0.793483030314313,0.8748455917465848,SPT,SPT|1989 Loma Prieta Mw=7,False
1.0,0.793483030314313,0.8125843177173208,SPT,SPT|1989 Loma Prieta Mw=7,False
1.0,0.5967148896033602,0.7478449759054472,SPT,SPT|1993 Kushiro-Oki Mw=8,True
1.0,0.9908722455925966,0.9832103566610915,CPT,"CPT|1975 Haicheng, China",False
1.0,0.9912619241359291,0.9913717687552631,CPT,"CPT|1975 Haicheng, China",False
1.0,0.9923879704560575,0.988600925992508,CPT,"CPT|1975 Haicheng, China",False
1.0,0.9876490992641207,0.9791236819690522,CPT,"CPT|1975 Haicheng, China",False
0.0,0.6353956469822697,0.5835670837237014,CPT,"CPT|1979 Imperial Valley, USA",True
0.0,0.6353956469822697,0.5962425863215793,CPT,"CPT|1979 Imperial Valley, USA",True
0.0,0.6353956469822697,0.6351719342393856,CPT,"CPT|1979 Imperial Valley, USA",True
1.0,0.9634461382607946,0.9825814414429177,CPT,"CPT|1979 Imperial Valley, USA",False
1.0,0.9994405864099722,0.9997901632390863,CPT,"CPT|1979 Imperial Valley, USA",False
0.0,0.655143483952103,0.5596675101806173,CPT,"CPT|1979 Imperial Valley, USA",True
1.0,0.9486141967049947,0.9745201959522275,CPT,"CPT|1981 Westmorland, USA",False
1.0,0.9486141967049947,0.9758816041144038,CPT,"CPT|1981 Westmorland, USA",False
1.0,0.9486141967049947,0.979713036030472,CPT,"CPT|1981 Westmorland, USA",False
1.0,0.9094761791269226,0.9486646467443423,CPT,"CPT|1981 Westmorland, USA",False
0.0,0.16362150910006307,0.04092266269063937,CPT,"CPT|1981 Westmorland, USA",False
1.0,0.9410850608701755,0.9824165175683867,CPT,"CPT|1981 Westmorland, USA",False
1.0,0.8774769446547737,0.9659345777102603,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9718387085087663,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9669542941420666,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9674744980639248,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9534165386650413,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.922079444955514,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9245749155629369,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9558998969803001,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.9167071418818333,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.943996071578323,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.8774769446547737,0.8728958725873682,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.9760102597234227,0.9777055603567907,CPT,"CPT|1983 Borah Peak, USA",False
1.0,0.9760102597234227,0.9570019252734502,CPT,"CPT|1983 Borah Peak, USA",False
0.0,0.7978301797920285,0.6196947925556692,CPT,"CPT|1987 Elmore Ranch, USA",False
0.0,0.7978301797920285,0.6358261302671345,CPT,"CPT|1987 Elmore Ranch, USA",False
0.0,0.7978301797920285,0.6844322739696542,CPT,"CPT|1987 Elmore Ranch, USA",False
1.0,0.9068351585719839,0.9409205024597791,CPT,"CPT|1987 Superstition Hills, USA",False
1.0,0.9068351585719839,0.9439739604013443,CPT,"CPT|1987 Superstition Hills, USA",False
1.0,0.9068351585719839,0.9526281647862175,CPT,"CPT|1987 Superstition Hills, USA",False
1.0,0.6266090579583061,0.6644418245637744,CPT,"CPT|1989 Loma Prieta, USA",True
1.0,0.6266090579583061,0.6459206195975329,CPT,"CPT|1989 Loma Prieta, USA",True
1.0,0.33537942084019373,0.3807951940128448,CPT,"CPT|1989 Loma Prieta, USA",True
1.0,0.5788641301578505,0.7894633748088473,CPT,"CPT|1989 Loma Prieta, USA",True
1.0,0.7287655290166637,0.857118224991208,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9892559966800962,0.9897542111567318,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9892559966800962,0.9879610026214621,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.6266090579583061,0.8817825732943426,CPT,"CPT|1989 Loma Prieta, USA",True
1.0,0.6266090579583061,0.7219730374344956,CPT,"CPT|1989 Loma Prieta, USA",True
